
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-02 19:01:48 /css/app.css ....................................................................... ~ 561.47ms
  2026-04-02 19:01:48 /images/logo-sidebar.png ............................................................. ~ 0.22ms
  2026-04-02 19:01:48 /js/pwa.js .......................................................................... ~ 21.08ms
  2026-04-02 19:01:48 /manifest.json ...................................................................... ~ 50.60ms
  2026-04-02 19:01:49 /internal/kyc ............................................................................ ~ 1s
  2026-04-02 19:01:50 /css/app.css ......................................................................... ~ 0.33ms
  2026-04-02 19:01:50 /images/logo-sidebar.png ............................................................. ~ 0.51ms
  2026-04-02 19:01:50 /js/pwa.js .......................................................................... ~ 21.20ms
  2026-04-02 19:01:50 /manifest.json ...................................................................... ~ 51.23ms
  2026-04-02 19:01:54 /internal/staff .................................................................... ~ 512.32ms
  2026-04-02 19:01:54 /css/app.css ......................................................................... ~ 0.37ms
  2026-04-02 19:01:54 /images/logo-sidebar.png ............................................................. ~ 0.37ms
  2026-04-02 19:01:54 /js/pwa.js .......................................................................... ~ 21.29ms
  2026-04-02 19:01:54 /manifest.json ...................................................................... ~ 53.24ms
  2026-04-02 19:03:21 /internal/smtp-settings ............................................................ ~ 518.93ms
  2026-04-02 19:03:21 /css/app.css ......................................................................... ~ 0.36ms
  2026-04-02 19:03:21 /images/logo-sidebar.png ............................................................. ~ 0.37ms
  2026-04-02 19:03:21 /js/pwa.js .......................................................................... ~ 20.64ms
  2026-04-02 19:03:21 /manifest.json ...................................................................... ~ 51.38ms
  2026-04-02 19:04:21 /internal/staff .................................................................... ~ 503.16ms
  2026-04-02 19:04:21 /css/app.css ........................................................................ ~ 27.38ms
  2026-04-02 19:04:22 /images/logo-sidebar.png ............................................................. ~ 0.30ms
  2026-04-02 19:04:22 /js/pwa.js .......................................................................... ~ 20.69ms
  2026-04-02 19:04:22 /manifest.json ...................................................................... ~ 52.70ms
  2026-04-02 19:04:47 /internal/kyc ...................................................................... ~ 506.74ms
  2026-04-02 19:04:47 /css/app.css ......................................................................... ~ 0.34ms
  2026-04-02 19:04:47 /images/logo-sidebar.png ............................................................. ~ 0.23ms
  2026-04-02 19:04:47 /js/pwa.js .......................................................................... ~ 20.34ms
  2026-04-02 19:04:47 /manifest.json ...................................................................... ~ 49.95ms
  2026-04-02 19:07:01 /internal/shipments ................................................................ ~ 501.78ms
  2026-04-02 19:07:01 /css/app.css ......................................................................... ~ 0.42ms
  2026-04-02 19:07:01 /images/logo-sidebar.png ............................................................. ~ 0.30ms
  2026-04-02 19:07:01 /js/pwa.js .......................................................................... ~ 25.46ms
  2026-04-02 19:07:01 /manifest.json ...................................................................... ~ 59.64ms
  2026-04-02 19:07:59 /internal/kyc ...................................................................... ~ 501.94ms
  2026-04-02 19:07:59 /css/app.css ....................................................................... ~ 535.25ms
  2026-04-02 19:08:00 /images/logo-sidebar.png ............................................................. ~ 0.88ms
  2026-04-02 19:08:00 /js/pwa.js .......................................................................... ~ 37.71ms
  2026-04-02 19:08:00 /manifest.json ...................................................................... ~ 69.78ms
  2026-04-02 19:08:35 /internal/staff .................................................................... ~ 508.06ms
  2026-04-02 19:08:36 /css/app.css ......................................................................... ~ 0.43ms
  2026-04-02 19:08:36 /images/logo-sidebar.png ............................................................. ~ 0.30ms
  2026-04-02 19:08:36 /js/pwa.js .......................................................................... ~ 21.95ms
  2026-04-02 19:08:36 /manifest.json ...................................................................... ~ 52.10ms
