
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-04-04 16:13:14 /admin/login ......................................................................... ~ 0.29ms
  2026-04-04 16:13:14 /login ............................................................................. ~ 544.05ms
  2026-04-04 16:13:14 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:13:15 /internal ............................................................................ ~ 0.31ms
  2026-04-04 16:13:15 /manifest.json ..................................................................... ~ 614.53ms
  2026-04-04 16:13:15 /css/app.css ........................................................................ ~ 65.37ms
  2026-04-04 16:13:15 /images/logo-sidebar.png ............................................................ ~ 30.62ms
  2026-04-04 16:13:15 /js/pwa.js .......................................................................... ~ 50.53ms
  2026-04-04 16:13:16 /sw.js ............................................................................... ~ 0.77ms
  2026-04-04 16:13:16 / .................................................................................... ~ 0.29ms
  2026-04-04 16:13:16 /offline ............................................................................. ~ 0.29ms
  2026-04-04 16:13:16 /css/app.css ........................................................................ ~ 32.48ms
  2026-04-04 16:13:16 /manifest.json ...................................................................... ~ 27.14ms
  2026-04-04 16:13:16 /internal/reports .................................................................. ~ 559.54ms
  2026-04-04 16:13:16 /css/app.css ....................................................................... ~ 596.98ms
  2026-04-04 16:13:17 /images/logo-sidebar.png ............................................................ ~ 28.99ms
  2026-04-04 16:13:17 /js/pwa.js .......................................................................... ~ 49.20ms
  2026-04-04 16:13:17 /sw.js ............................................................................... ~ 0.26ms
  2026-04-04 16:13:17 / .................................................................................. ~ 507.35ms
  2026-04-04 16:13:17 /offline ........................................................................... ~ 543.56ms
  2026-04-04 16:13:17 /css/app.css ........................................................................ ~ 32.30ms
  2026-04-04 16:13:17 /manifest.json ...................................................................... ~ 32.51ms
  2026-04-04 16:13:17 ..................................................................................... ~ 57.74ms
  2026-04-04 16:13:17 ..................................................................................... ~ 94.19ms
  2026-04-04 16:13:17 /admin/login ....................................................................... ~ 504.48ms
  2026-04-04 16:13:18 /css/app.css ......................................................................... ~ 0.30ms
  2026-04-04 16:13:18 /js/pwa.js .......................................................................... ~ 32.36ms
  2026-04-04 16:13:18 /sw.js ............................................................................... ~ 2.38ms
  2026-04-04 16:13:18 / .................................................................................... ~ 0.20ms
  2026-04-04 16:13:18 /offline ............................................................................ ~ 34.96ms
